Ano,Regiao,Sub_Regiao,Pais,Mes,GeoCodUnidMaior,UnidMaior,GeoCodUnidMenor,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
2004,América Latina,Área Andina,Perú,6,PER-MDD,Madre de Dios,...,Sin Informacion,Bovinos,Bovinos,4,0
2004,América Latina,Área Andina,Perú,6,PER-AYC,Ayacucho,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,6,PER-LOR,Loreto,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Ecuador,6,ECU-GUA,Guayas,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2313,Maracaibo,Perros,Perros,3,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2319,Simon Bolivar,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2310,Lagunillas,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2317,San Francisco,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2313,Maracaibo,Gatos,Gatos,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2303,Cabimas,Gatos,Gatos,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2303,Cabimas,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2319,Simon Bolivar,Perros,Perros,2,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2313,Maracaibo,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,6,VEN-ZUL,Zulia,VEN-2312,Mara,Perros,Perros,1,0
2004,América Latina,Brasil,Brasil,4,BRA-MRN,Maranhão,BRA-MRN-000570,Lago da Pedra,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,4,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,0
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,1
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,1
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,1
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,1
2004,América Latina,Brasil,Brasil,3,BRA-PAR,Pará,BRA-PAR-000580,Portel,Humanos,Humanos,1,1
2004,América Latina,México,México,7,MEX-PUE,Puebla,MEX-PUE-000026,Pahutlan,Bovinos,Bovinos,3,0
2004,América Latina,México,México,7,MEX-QDA,Queretaro,MEX-QDA-000001,E.montes,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,6,PER-LLB,La Libertad,PER-LLB-000009,Ascope,Perros,Perros,2,0
2004,América Latina,Área Andina,Perú,6,PER-PUN,Puno,PER-PUN-000011,San Roman,Perros,Perros,1,0
2004,América Latina,Área Andina,Perú,6,PER-AYC,Ayacucho,PER-AYC-000002,Huamanga,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,6,PER-LIM,Lima,PER-LIM-000009,Cañete,Mono,Otros Animais Silvestres,1,0
2004,América Latina,Área Andina,Perú,6,PER-APR,Apurimac,PER-APR-000001,Abancay,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,6,PER-APR,Apurimac,PER-APR-000002,Andahuaylas,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,7,PER-LIM,Lima,PER-LIM-000002,Lima,Perros,Perros,1,0
2004,América Latina,Área Andina,Perú,7,PER-LIM,Lima,PER-LIM-000009,Cañete,Murciélagos Hematófagos,Murcielagos Hematofagos,1,0
2004,América Latina,América Central,El Salvador,6,SLV-SMI,San Miguel,SLV-SMI-000008,San Miguel,Perros,Perros,1,0
2004,América Latina,América Central,El Salvador,7,SLV-SMI,San Miguel,SLV-SMI-000008,San Miguel,Bovinos,Bovinos,1,0
2004,América Latina,América Central,El Salvador,7,SLV-SMI,San Miguel,SLV-SMI-000002,Chinameca,Perros,Perros,1,0
2004,América Latina,América Central,El Salvador,7,SLV-SSL,San Salvador,SLV-SSL-000018,Soyapango,Gatos,Gatos,1,0
2004,América Latina,México,México,5,MEX-YCT,Yucatan,...,Sin Informacion,Ovinos,Otros ADIE,1,0
2004,América Latina,México,México,6,MEX-PUE,Puebla,...,Sin Informacion,Bovinos,Bovinos,3,0
2004,América Latina,México,México,6,MEX-SLP,San Luis Potosi,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,México,México,6,MEX-SLP,San Luis Potosi,...,Sin Informacion,Bovinos,Bovinos,4,0
2004,América Latina,México,México,5,MEX-MEX,Mexico,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,7,BOL-CCH,Cochabamba,...,Sin Informacion,Perros,Perros,3,0
2004,América Latina,Área Andina,Bolivia,7,BOL-TAR,Tarija,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,7,BOL-CHQ,Chuquisaca,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,4,VEN-ZUL,Zulia,VEN-2313,Maracaibo,Humanos,Humanos,1,0
2004,América Latina,México,México,7,MEX-CHP,Chiapas,MEX-CHP-000027,Villaflores,Bovinos,Bovinos,1,0
2004,América Latina,México,México,7,MEX-OAX,Oaxaca,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,México,México,7,MEX-VLL,Veracruz,MEX-VLL-000020,Cotaxtla,Bovinos,Bovinos,1,0
2004,América Latina,México,México,7,MEX-VLL,Veracruz,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,MEX-SLP-000006,Cd. Valles,Bovinos,Bovinos,2,0
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,...,Sin Informacion,Bovinos,Bovinos,3,0
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,...,Sin Informacion,Bovinos,Bovinos,4,0
