Ano,Mes,Semana,Regiao,Sub_Regiao,Pais,UnidMaior,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
1972,0,0,Latin America,Andean Area,Venezuela,NA,NA,Humans,Humans,4,NA
1972,0,0,Latin America,Andean Area,Venezuela,NA,NA,Other Domestic,Other Domestic,10,NA
1972,0,0,Latin America,Andean Area,Venezuela,NA,NA,Wildlife,Other Wild Lives,1,NA
1972,0,0,Latin America,Brazil,Brazil,NA,NA,Bovines,Bovines,1540,NA
1972,0,0,Latin America,Brazil,Brazil,NA,NA,Cats,Cats,24,NA
1972,0,0,Latin America,Brazil,Brazil,NA,NA,Dogs,Dogs,405,NA
1972,0,0,Latin America,Brazil,Brazil,NA,NA,Humans,Humans,62,NA
1972,0,0,Latin America,Brazil,Brazil,NA,NA,Other Domestic,Other Domestic,189,NA
1972,0,0,Latin America,Brazil,Brazil,NA,NA,Wildlife,Other Wild Lives,12,NA
1972,0,0,Latin America,Central America,Costa Rica,NA,NA,Bovines,Bovines,1,NA
1972,0,0,Latin America,Central America,Costa Rica,NA,NA,Dogs,Dogs,7,NA
1972,0,0,Latin America,Central America,Costa Rica,NA,NA,Wildlife,Other Wild Lives,2,NA
1972,0,0,Latin America,Central America,El Salvador,NA,NA,Bovines,Bovines,110,NA
1972,0,0,Latin America,Central America,El Salvador,NA,NA,Cats,Cats,10,NA
1972,0,0,Latin America,Central America,El Salvador,NA,NA,Dogs,Dogs,86,NA
1972,0,0,Latin America,Central America,El Salvador,NA,NA,Humans,Humans,9,NA
1972,0,0,Latin America,Central America,El Salvador,NA,NA,Other Domestic,Other Domestic,2,NA
1972,0,0,Latin America,Central America,El Salvador,NA,NA,Wildlife,Other Wild Lives,10,NA
1972,0,0,Latin America,Central America,Guatemala,NA,NA,Bovines,Bovines,7,NA
1972,0,0,Latin America,Central America,Guatemala,NA,NA,Cats,Cats,4,NA
1972,0,0,Latin America,Central America,Guatemala,NA,NA,Dogs,Dogs,182,NA
1972,0,0,Latin America,Central America,Guatemala,NA,NA,Humans,Humans,3,NA
1972,0,0,Latin America,Central America,Guatemala,NA,NA,Other Domestic,Other Domestic,3,NA
1972,0,0,Latin America,Central America,Honduras,NA,NA,Bovines,Bovines,31,NA
1972,0,0,Latin America,Central America,Honduras,NA,NA,Cats,Cats,6,NA
1972,0,0,Latin America,Central America,Honduras,NA,NA,Dogs,Dogs,127,NA
1972,0,0,Latin America,Central America,Honduras,NA,NA,Humans,Humans,5,NA
1972,0,0,Latin America,Central America,Honduras,NA,NA,Other Domestic,Other Domestic,2,NA
1972,0,0,Latin America,Central America,Nicaragua,NA,NA,Bovines,Bovines,2,NA
